El core 0 ha empezado el hilillo 0
El core 0 se encuentra en el ciclo 11
El core 0 se encuentra en el ciclo 22
El core 0 se encuentra en el ciclo 33
El core 0 se encuentra en el ciclo 44
El core 0 se encuentra en el ciclo 55
El core 0 se encuentra en el ciclo 66
El core 0 se encuentra en el ciclo 77
El core 0 se encuentra en el ciclo 88
El core 0 ha terminado el hilillo 0
El core 0 ha empezado el hilillo 1
El core 0 se encuentra en el ciclo 99
El core 0 se encuentra en el ciclo 110
El core 0 se encuentra en el ciclo 121
El core 0 se encuentra en el ciclo 132
El core 0 se encuentra en el ciclo 143
El core 0 se encuentra en el ciclo 154
El core 0 se encuentra en el ciclo 165
El core 0 se encuentra en el ciclo 176
El core 0 se encuentra en el ciclo 187
El core 0 se encuentra en el ciclo 198
El core 0 se encuentra en el ciclo 209
El core 0 se encuentra en el ciclo 220
El core 0 se encuentra en el ciclo 231
El core 0 se encuentra en el ciclo 242
El core 0 se encuentra en el ciclo 253
El core 0 se encuentra en el ciclo 264
El core 0 se encuentra en el ciclo 275
El core 0 se encuentra en el ciclo 286
El core 0 se encuentra en el ciclo 297
El core 0 se encuentra en el ciclo 308
El core 0 se encuentra en el ciclo 319
El core 0 se encuentra en el ciclo 330
El core 0 se encuentra en el ciclo 341
El core 0 se encuentra en el ciclo 352
El core 0 se encuentra en el ciclo 363
El core 0 se encuentra en el ciclo 374
El core 0 se encuentra en el ciclo 385
El core 0 se encuentra en el ciclo 396
El core 0 se encuentra en el ciclo 407
El core 0 se encuentra en el ciclo 418
El core 0 se encuentra en el ciclo 429
El core 0 se encuentra en el ciclo 440
El core 0 se encuentra en el ciclo 451
El core 0 se encuentra en el ciclo 462
El core 0 se encuentra en el ciclo 473
El core 0 se encuentra en el ciclo 484
El core 0 se encuentra en el ciclo 495
El core 0 se encuentra en el ciclo 506
El core 0 se encuentra en el ciclo 517
El core 0 se encuentra en el ciclo 528
El core 0 se encuentra en el ciclo 539
El core 0 se encuentra en el ciclo 550
El core 0 se encuentra en el ciclo 561
El core 0 se encuentra en el ciclo 572
El core 0 se encuentra en el ciclo 583
El core 0 se encuentra en el ciclo 594
El core 0 se encuentra en el ciclo 605
El core 0 se encuentra en el ciclo 616
El core 0 se encuentra en el ciclo 627
El core 0 se encuentra en el ciclo 638
El core 0 se encuentra en el ciclo 649
El core 0 se encuentra en el ciclo 660
El core 0 se encuentra en el ciclo 671
El core 0 se encuentra en el ciclo 682
El core 0 se encuentra en el ciclo 693
El core 0 se encuentra en el ciclo 704
El core 0 se encuentra en el ciclo 715
El core 0 se encuentra en el ciclo 726
El core 0 se encuentra en el ciclo 737
El core 0 ha terminado el hilillo 1
El core 0 ha empezado el hilillo 2
El core 0 se encuentra en el ciclo 748
El core 0 se encuentra en el ciclo 759
El core 0 se encuentra en el ciclo 770
El core 0 se encuentra en el ciclo 781
El core 0 se encuentra en el ciclo 792
El core 0 se encuentra en el ciclo 803
El core 0 se encuentra en el ciclo 814
El core 0 se encuentra en el ciclo 825
El core 0 se encuentra en el ciclo 836
El core 0 se encuentra en el ciclo 847
El core 0 se encuentra en el ciclo 858
El core 0 se encuentra en el ciclo 869
El core 0 se encuentra en el ciclo 880
El core 0 se encuentra en el ciclo 891
El core 0 se encuentra en el ciclo 902
El core 0 se encuentra en el ciclo 913
El core 0 se encuentra en el ciclo 924
El core 0 se encuentra en el ciclo 935
El core 0 se encuentra en el ciclo 946
